city,admin_name,capital,population
"Cicero, United States",Illinois,,83223.0
"Cicevac, Serbia",Ćićevac,admin,9446.0
"Cicuco, Colombia",Bolívar,minor,13120.0
"Cidade Gaucha, Brazil",Paraná,minor,11467.0
"Cidade Velha, Cabo Verde",Ribeira Grande de Santiago,admin,2148.0
"Cidade de Nacala, Mozambique",Nampula,,206449.0
"Cide, Turkey",Kastamonu,minor,11087.0
"Cidelandia, Brazil",Maranhão,minor,12878.0
"Cidreira, Brazil",Rio Grande do Sul,minor,16583.0
"Ciechanow, Poland",Mazowieckie,minor,42705.0
"Ciechocinek, Poland",Kujawsko-Pomorskie,,10415.0
"Ciego de Avila, Cuba",Ciego de Ávila,admin,143449.0
"Ciempozuelos, Spain",Madrid,,26140.0
"Cienaga de Oro, Colombia",Córdoba,minor,64226.0
"Cienaga, Colombia",Magdalena,minor,129414.0
"Cienega de Flores, Mexico",Nuevo León,minor,14268.0
"Cienfuegos, Cuba",Cienfuegos,admin,164924.0
"Cieszyn, Poland",Śląskie,minor,33958.0
"Cieza, Spain",Murcia,,35361.0
"Cifteler, Turkey",Eskişehir,minor,14906.0
"Ciftlikkoy, Turkey",Yalova,minor,50974.0
"Cifuentes, Cuba",Villa Clara,minor,26135.0
"Cigli, Turkey",İzmir,,214065.0
"Cihanbeyli, Turkey",Konya,minor,50677.0
"Cihuatlan, Mexico",Jalisco,minor,40139.0
"Cikupa, Indonesia",Jawa Barat,,209140.0
"Cilacap, Indonesia",Jawa Tengah,minor,1174964.0
"Cilegon, Indonesia",Banten,,387543.0
"Cili, China",Hunan,minor,130000.0
"Cilimli, Turkey",Düzce,minor,9936.0
"Cimahi, Indonesia",Jawa Barat,,586580.0
"Cimanggis, Indonesia",Jawa Barat,,252370.0
"Cimarron Hills, United States",Colorado,,18808.0
"Cimerak, Indonesia",Jawa Barat,minor,43500.0
"Cimislia, Moldova",Cimişlia,admin,11997.0
"Cimitarra, Colombia",Santander,minor,49593.0
"Cinar, Turkey",Diyarbakır,minor,76966.0
"Cinarcik, Turkey",Yalova,minor,38600.0
"Cincinnati, United States",Ohio,,1704916.0
"Cinco Ranch, United States",Texas,,19139.0
"Cinco Saltos, Argentina",Río Negro,,27566.0
"Cinderford, United Kingdom",Gloucestershire,,8773.0
"Cine, Turkey",Aydın,minor,48466.0
"Cinere, Indonesia",Jawa Barat,,101600.0
"Ciney, Belgium",Wallonia,,16439.0
"Cinfaes, Portugal",Viseu,minor,20427.0
"Cingoli, Italy",Marche,,9584.0
"Cinisello Balsamo, Italy",Lombardy,,74528.0
"Cinisi, Italy",Sicilia,,11936.0
"Cinnaminson, United States",New Jersey,,17243.0
"Cintalapa de Figueroa, Mexico",Chiapas,minor,49201.0
"Cipanas, Indonesia",Jawa Barat,,15435.0
"Cipo, Brazil",Bahia,minor,17230.0
"Cipolletti, Argentina",Río Negro,,105482.0
"Ciputat, Indonesia",Jawa Barat,,222186.0
"Circasia, Colombia",Quindío,minor,26705.0
"Circleville, United States",Ohio,,14144.0
"Cirebon, Indonesia",Jawa Barat,,296389.0
"Cirencester, United Kingdom",Gloucestershire,,19076.0
"Cirie, Italy",Piedmont,,18121.0
"Cirkulane, Slovenia",Cirkulane,admin,451.0
"Ciro Marina, Italy",Calabria,,14030.0
"Ciro Redondo, Cuba",Ciego de Ávila,minor,28370.0
"Cisauk, Indonesia",Jawa Barat,,91438.0
"Cislago, Italy",Lombardy,,10401.0
"Cisnadie, Romania",Sibiu,,22277.0
"Cisneros, Colombia",Antioquia,minor,11555.0
"Cisterna di Latina, Italy",Lazio,,36266.0
"Cisterniga, Spain",Castille-Leon,,9281.0
"Cisternino, Italy",Puglia,,11139.0
"Citlaltepec, Mexico",Veracruz,minor,12109.0
"Citluk, Bosnia and Herzegovina","Bosnia and Herzegovina, Federation of",minor,18140.0
"Citong, Taiwan",Yunlin,,27538.0
"Citrus Heights, United States",California,,87036.0
"Citrus Hills, United States",Florida,,9044.0
"Citrus Park, United States",Florida,,28163.0
"Citrus Springs, United States",Florida,,11469.0
"Citrus, United States",California,,10813.0
"Citta Sant'Angelo, Italy",Abruzzo,,14795.0
"Citta di Castello, Italy",Umbria,,38222.0
"Cittadella, Italy",Veneto,,20023.0
"Cittanova, Italy",Calabria,,9769.0
"City Bell, Argentina",Buenos Aires,,32646.0
"City of Calamba, Philippines",Laguna,,539671.0
"City of Isabela, Philippines",Basilan,admin,130379.0
"City of Orange, United States",New Jersey,,33973.0
"City of Paranaque, Philippines",Parañaque,admin,689992.0
"Ciudad Acuna, Mexico",Coahuila,minor,160225.0
"Ciudad Altamirano, Mexico",Guerrero,minor,25850.0
"Ciudad Apodaca, Mexico",Nuevo León,minor,523370.0
"Ciudad Arce, El Salvador",La Libertad,,60314.0
"Ciudad Barrios, El Salvador",San Miguel,,40500.0
"Ciudad Benito Juarez, Mexico",Nuevo León,minor,308285.0
"Ciudad Bolivar, Colombia",Antioquia,minor,27458.0
"Ciudad Bolivar, Venezuela",Bolívar,admin,422578.0
"Ciudad Choluteca, Honduras",Choluteca,admin,152519.0
"Ciudad Constitucion, Mexico",Baja California Sur,minor,43805.0
"Ciudad Cortes, Costa Rica",Puntarenas,,7969.0
"Ciudad Cuauhtemoc, Mexico",Veracruz,minor,9740.0
"Ciudad Dario, Nicaragua",Matagalpa,minor,41014.0
"Ciudad Fernandez, Mexico",San Luis Potosí,minor,48106.0
"Ciudad General Belgrano, Argentina",Buenos Aires,,92957.0
"Ciudad General Escobedo, Mexico",Nuevo León,minor,454967.0
"Ciudad Guadalupe Victoria, Mexico",Durango,minor,16506.0
"Ciudad Guayana, Venezuela",Bolívar,minor,978202.0
"Ciudad Guzman, Mexico",Jalisco,minor,115000.0
"Ciudad Hidalgo, Mexico",Michoacán,minor,122619.0
"Ciudad Insurgentes, Mexico",Baja California Sur,,9133.0
"Ciudad Ixtepec, Mexico",Oaxaca,,28637.0
"Ciudad Lazaro Cardenas, Mexico",Michoacán,,79200.0
"Ciudad Lerdo, Mexico",Durango,minor,79669.0
"Ciudad Lopez Mateos, Mexico",México,minor,489937.0
"Ciudad Madero, Mexico",Tamaulipas,minor,197216.0
"Ciudad Mante, Mexico",Tamaulipas,minor,84787.0
"Ciudad Manuel Doblado, Mexico",Guanajuato,minor,37145.0
"Ciudad Melchor Muzquiz, Mexico",Coahuila,minor,38992.0
"Ciudad Melchor de Mencos, Guatemala",Petén,minor,30682.0
"Ciudad Miguel Aleman, Mexico",Tamaulipas,minor,19998.0
"Ciudad Nezahualcoyotl, Mexico",México,,1072676.0
"Ciudad Obregon, Mexico",Sonora,minor,329404.0
"Ciudad Ojeda, Venezuela",Zulia,minor,128941.0
"Ciudad Piar, Venezuela",Bolívar,minor,40918.0
"Ciudad Real, Spain",Castille-La Mancha,minor,75909.0
"Ciudad Rio Bravo, Mexico",Tamaulipas,minor,101481.0
"Ciudad Sabinas Hidalgo, Mexico",Nuevo León,minor,32047.0
"Ciudad Sahagun, Mexico",Hidalgo,,28609.0
"Ciudad Sandino, Nicaragua",Managua,minor,127517.0
"Ciudad Santa Catarina, Mexico",Nuevo León,minor,306322.0
"Ciudad Serdan, Mexico",Puebla,minor,23824.0
"Ciudad Tecun Uman, Guatemala",San Marcos,minor,27365.0
"Ciudad Tula, Mexico",Tamaulipas,minor,10043.0
"Ciudad Valles, Mexico",San Luis Potosí,minor,177022.0
"Ciudad Victoria, Mexico",Tamaulipas,admin,305155.0
"Ciudad Vieja, Guatemala",Sacatepéquez,minor,41010.0
"Ciudad de Allende, Mexico",Nuevo León,minor,35289.0
"Ciudad de Atlixco, Mexico",Puebla,minor,89314.0
"Ciudad de Ceuta, Spain",Ceuta,,83229.0
"Ciudad de Huajuapam de Leon, Mexico",Oaxaca,minor,45321.0
"Ciudad de Huitzuco, Mexico",Guerrero,minor,16025.0
"Ciudad de Loreto, Argentina",Santiago del Estero,,9854.0
"Ciudad de Melilla, Spain",Melilla,,85985.0
"Ciudad de la Costa, Uruguay",Canelones,,112449.0
"Ciudad del Carmen, Mexico",Campeche,minor,191238.0
"Ciudad del Este, Paraguay",Alto Paraná,admin,308983.0
"Ciudad del Plata, Uruguay",San José,,38249.0
"Ciudad-Rodrigo, Spain",Castille-Leon,,11846.0
"Ciudadela, Argentina",Buenos Aires,,73155.0
"Cividale del Friuli, Italy",Friuli Venezia Giulia,,10815.0
"Civita Castellana, Italy",Lazio,,15247.0
"Civitanova Marche, Italy",Marche,,41790.0
"Civitavecchia, Italy",Lazio,,51653.0
"Civitella in Val di Chiana, Italy",Tuscany,,8748.0
"Civril, Turkey",Denizli,minor,59967.0
"Ciying, China",Yunnan,,25497.0
"Cizre, Turkey",Şırnak,minor,130916.0
"Clacton-on-Sea, United Kingdom",Essex,,50548.0
"Claiborne, United States",Louisiana,,12647.0
"Clamart, France",Île-de-France,,56882.0
"Clanton, United States",Alabama,,8862.0
"Clare, Australia",South Australia,,3160.0
"Claremont, United States",California,,36553.0
"Claremore, United States",Oklahoma,,19921.0
"Clarence, United States",New York,,32975.0
"Clarence-Rockland, Canada",Ontario,,26505.0
"Clarendon Hills, United States",Illinois,,8642.0
"Clarin, Philippines",Misamis Occidental,,39356.0
"Clarines, Venezuela",Anzoátegui,minor,15000.0
"Clarington, Canada",Ontario,,101427.0
"Clark, United States",New Jersey,,15410.0
"Clarksburg, United States",Maryland,,29246.0
"Clarksdale, United States",Mississippi,,14423.0
"Clarkston, United States",Georgia,,14560.0
"Clarkstown, United States",New York,,86575.0
"Clarksville, United States",Tennessee,,218159.0
"Claudio, Brazil",Minas Gerais,minor,30159.0
"Clausthal-Zellerfeld, Germany",Lower Saxony,,15436.0
"Claveria, Philippines",Misamis Oriental,,52478.0
"Clawson, United States",Michigan,,11314.0
"Claxton Bay, Trinidad and Tobago",Couva/Tabaquite/Talparo,,14436.0
"Clay Cross, United Kingdom",Derbyshire,,10059.0
"Clay, United States",New York,,60083.0
"Claye-Souilly, France",Île-de-France,,12381.0
"Claymont, United States",Delaware,,9543.0
"Claypole, Argentina",Buenos Aires,,41176.0
"Clayton le Moors, United Kingdom",Lancashire,,8522.0
"Clayton, United Kingdom",Bradford,,9180.0
"Clayton, United States",North Carolina,,28043.0
"Clearfield, United States",Utah,,32895.0
"Clearlake, United States",California,,16604.0
"Clearview, Canada",Ontario,,14151.0
"Clearwater, United States",Florida,,117075.0
"Cleburne, United States",Texas,,32966.0
"Cleckheaton, United Kingdom",Kirklees,,16622.0
"Cleethorpes, United Kingdom",North East Lincolnshire,,38996.0
"Clemencia, Colombia",Bolívar,minor,13821.0
"Clemmons, United States",North Carolina,,21574.0
"Clemson, United States",South Carolina,,17759.0
"Clermont, France",Hauts-de-France,minor,10704.0
"Clermont, United States",Florida,,44984.0
"Clermont-Ferrand, France",Auvergne-Rhône-Alpes,minor,147751.0
"Clermont-l'Herault, France",Occitanie,,9372.0
"Clervaux, Luxembourg",Clervaux,admin,1468.0
"Clevedon, United Kingdom",North Somerset,,21404.0
"Cleveland Heights, United States",Ohio,,44694.0
"Cleveland, United States",Ohio,,1679247.0
"Clevelandia, Brazil",Paraná,minor,15070.0
"Clichy, France",Île-de-France,,65102.0
"Clichy-sous-Bois, France",Île-de-France,,29551.0
"Cliffside Park, United States",New Jersey,,25580.0
"Clifton Park, United States",New York,,37996.0
"Clifton, United Kingdom",Nottingham,,22936.0
"Clifton, United States",New Jersey,,89247.0
"Cliftonville, United Kingdom",Kent,,12900.0
"Clinton, United States",Maryland,,38756.0
"Clitheroe, United Kingdom",Lancashire,,17138.0
"Clive, United States",Iowa,,18776.0
"Cliza, Bolivia",Cochabamba,,6534.0
"Cloncurry, Australia",Queensland,,2524.0
"Clondalkin, Ireland",South Dublin,,47938.0
"Clonmel, Ireland",Tipperary,admin,18369.0
"Cloppenburg, Germany",Lower Saxony,minor,37280.0
"Cloquet, United States",Minnesota,,12582.0
"Clorinda, Argentina",Formosa,minor,47240.0
"Closepet, India",Karnātaka,,95167.0
"Closter, United States",New Jersey,,8544.0
"Cloverdale, United States",California,,8933.0
"Cloverleaf, United States",Texas,,24630.0
"Cloverly, United States",Maryland,,16726.0
"Clovis, United States",California,,122719.0
"Cluj-Napoca, Romania",Cluj,admin,286598.0
"Cluses, France",Auvergne-Rhône-Alpes,,17366.0
"Clusone, Italy",Lombardy,,8537.0
"Clute, United States",Texas,,10650.0
"Clydebank, United Kingdom",West Dunbartonshire,,26320.0
"Coacalco, Mexico",México,minor,293444.0
"Coachella, United States",California,,42594.0
"Coacoatzintla, Mexico",Veracruz,minor,10482.0
"Coahuitlan, Mexico",Veracruz,,8566.0
"Coal, United States",Pennsylvania,,9850.0
"Coalcoman de Vasquez Pallares Uno, Mexico",Michoacán,,18444.0
"Coalcoman de Vazquez Pallares, Mexico",Michoacán,minor,18444.0
"Coaldale, Canada",Alberta,,8771.0
"Coalinga, United States",California,,17352.0
"Coalville, United Kingdom",Leicestershire,,21988.0
"Coamo, Puerto Rico",Puerto Rico,,9504.0
"Coaraci, Brazil",Bahia,minor,16549.0
"Coari, Brazil",Amazonas,minor,67096.0
"Coatbridge, United Kingdom",North Lanarkshire,,43960.0
"Coatepec Harinas, Mexico",México,minor,36269.0
"Coatepec, Mexico",Veracruz,minor,92127.0
"Coatepeque, El Salvador",Santa Ana,,74038.0
"Coatepeque, Guatemala",Quetzaltenango,minor,120737.0
"Coatesville, United States",Pennsylvania,,13323.0
"Coatetelco, Mexico",Morelos,,9094.0
"Coaticook, Canada",Quebec,,8698.0
"Coatzacoalcos, Mexico",Veracruz,minor,319187.0
"Coban, Guatemala",Alta Verapaz,admin,228664.0
"Cobanlar, Turkey",Afyonkarahisar,minor,9190.0
"Cobh, Ireland",Cork,,12347.0
"Cobham, United Kingdom",Surrey,,9739.0
"Cobija, Bolivia",Pando,admin,46267.0
"Cobourg, Canada",Ontario,,20519.0
"Cobram, Australia",Victoria,,5389.0
"Coburg, Germany",Bavaria,minor,42139.0
"Cocal, Brazil",Piauí,minor,28212.0
"Coccaglio, Italy",Lombardy,,8749.0
"Cocentaina, Spain",Valencia,,11451.0
"Cochabamba, Bolivia",Cochabamba,admin,856198.0
"Cochoapa el Grande, Mexico",Guerrero,minor,15572.0
"Cochrane, Canada",Alberta,,32199.0
"Cochrane, Chile",Aysén,minor,2789.0
"Cocieri, Moldova",Dubăsari,admin,
"Cockermouth, United Kingdom",Cumbria,,8847.0
"Cockeysville, United States",Maryland,,23265.0
"Cocoa Beach, United States",Florida,,11341.0
"Cocoa, United States",Florida,,19330.0
"Cocody, Côte d’Ivoire",Abidjan,,692583.0
"Coconuco, Colombia",Cauca,minor,14952.0
"Coconut Creek, United States",Florida,,57587.0
"Cocorna, Colombia",Antioquia,minor,14743.0
"Cocorote, Venezuela",Yaracuy,minor,39310.0
"Cocos, Brazil",Bahia,minor,19151.0
"Cocotitlan, Mexico",México,minor,12142.0
"Cocula, Mexico",Jalisco,minor,29267.0
"Codajas, Brazil",Amazonas,minor,23549.0
"Codegua, Chile",Libertador General Bernardo O’Higgins,,12495.0
"Codigoro, Italy",Emilia-Romagna,,11072.0
"Codlea, Romania",Braşov,,20534.0
"Codo, Brazil",Maranhão,minor,111146.0
"Codogno, Italy",Lombardy,,15539.0
"Codroipo, Italy",Friuli Venezia Giulia,,15863.0
"Codru, Moldova",Chişinău,,15934.0
"Cody, United States",Wyoming,,10121.0
"Coelemu, Chile",Ñuble,,15711.0
"Coelho Neto, Brazil",Maranhão,minor,49621.0
"Coello, Colombia",Tolima,minor,9887.0
"Coesfeld, Germany",North Rhine-Westphalia,minor,37259.0
"Coeur d'Alene, United States",Idaho,,128680.0
"Coevorden, Netherlands",Drenthe,minor,35483.0
"Coffeyville, United States",Kansas,,8752.0
"Coffs Harbour, Australia",New South Wales,,25752.0
"Cofimvaba, South Africa",Eastern Cape,,8783.0
"Cofradia, Honduras",Cortés,,18100.0
"Cogan, Philippines",Cebu,,57897.0
"Cognac, France",Nouvelle-Aquitaine,minor,18466.0
"Cogolin, France",Provence-Alpes-Côte d’Azur,,12076.0
"Cogua, Colombia",Cundinamarca,minor,24092.0
"Cohoes, United States",New York,,18043.0
"Coimbatore, India",Tamil Nādu,,959823.0
"Coimbra, Portugal",Coimbra,admin,140816.0
"Coin, Spain",Andalusia,,25809.0
"Coite do Noia, Brazil",Alagoas,minor,10643.0
"Cojedes, Venezuela",Cojedes,minor,14044.0
"Cojutepeque, El Salvador",Cuscatlán,admin,50315.0
"Coka, Serbia",Čoka,admin,4707.0
"Colac, Australia",Victoria,,9048.0
"Colangute, India",,,13810.0
"Colares, Brazil",Pará,minor,12868.0
"Colatina, Brazil",Espírito Santo,minor,111788.0
"Colbun, Chile",Maule,,17619.0
"Colcapirhua, Bolivia",Cochabamba,,48631.0
"Colchester, United Kingdom",Essex,,121859.0
"Colchester, United States",Vermont,,17570.0
"Cold Lake, Canada",Alberta,,14961.0
"Cold Springs, United States",Nevada,,11223.0
"Coldstream, Canada",British Columbia,,11171.0
"Coldwater, United States",Michigan,,13847.0
"Coleford, United Kingdom",Gloucestershire,,9275.0
"Colesberg, South Africa",Northern Cape,,16869.0
"Colesville, United States",Maryland,,14075.0
"Colfontaine, Belgium",Wallonia,,20762.0
"Colgong, India",Bihār,,29104.0
"Colider, Brazil",Mato Grosso,minor,31370.0
"Colima, Mexico",Colima,admin,146965.0
"Colina, Brazil",São Paulo,minor,18535.0
"Colina, Chile",Región Metropolitana,minor,146209.0
"Colinas do Tocantins, Brazil",Tocantins,minor,34233.0
"Colinas, Brazil",Maranhão,minor,35803.0
"Colindres, Spain",Cantabria,,8540.0
"Collado-Villalba, Spain",Madrid,,66698.0
"Colle Salvetti, Italy",Tuscany,,16281.0
"Colle di Val d'Elsa, Italy",Tuscany,,21550.0
"Collecchio, Italy",Emilia-Romagna,,14684.0
"Colleferro, Italy",Lazio,,20536.0
"College Park, United States",Maryland,,34397.0
"College Place, United States",Washington,,9828.0
"College Station, United States",Texas,,215768.0
"College, United States",Alaska,,11730.0
"Collegedale, United States",Tennessee,,11185.0
"Collegno, Italy",Piedmont,,48340.0
"Colleyville, United States",Texas,,25906.0
"Collier, United States",Pennsylvania,,8909.0
"Collierville, United States",Tennessee,,51212.0
"Collingdale, United States",Pennsylvania,,8862.0
"Collingswood, United States",New Jersey,,14163.0
"Collingwood, Canada",Ontario,,24811.0
"Collinsville, United States",Illinois,,24126.0
"Collipulli, Chile",Araucanía,,23321.0
"Collo, Algeria",Skikda,,35682.0
"Colmar, France",Grand Est,minor,67360.0
"Colmeia, Brazil",Tocantins,minor,8941.0
"Colmenar Viejo, Spain",Madrid,,57029.0
"Colmenarejo, Spain",Madrid,,9623.0
"Colne, United Kingdom",Lancashire,,17939.0
"Cologne, Germany",North Rhine-Westphalia,,1087353.0
"Cologno Monzese, Italy",Lombardy,,46707.0
"Cologno al Serio, Italy",Lombardy,,11066.0
"Colomba, Guatemala",Quetzaltenango,minor,56487.0
"Colombes, France",Île-de-France,,90692.0
"Colombia, Cuba",Las Tunas,minor,31482.0
"Colombo, Brazil",Paraná,minor,183329.0
"Colombo, Sri Lanka",Western,primary,752993.0
"Colomiers, France",Occitanie,,40916.0
"Colon, Argentina",Buenos Aires,minor,23171.0
"Colon, Costa Rica",San José,,17274.0
"Colon, Cuba",Matanzas,minor,72000.0
"Colon, El Salvador",La Libertad,,96989.0
"Colon, Panama",Colón,admin,78000.0
"Colon, Venezuela",Táchira,minor,36925.0
"Colonia General Felipe Angeles, Mexico",Durango,,20511.0
"Colonia Leopoldina, Brazil",Alagoas,minor,15816.0
"Colonia Nicolich, Uruguay",Canelones,,9624.0
"Colonia del Sacramento, Uruguay",Colonia,admin,26231.0
"Colonia del Sol, Mexico",Baja California Sur,,48032.0
"Colonia, Micronesia, Federated States of",Yap,admin,3126.0
"Colonia, United States",New Jersey,,18294.0
"Colonial Heights, United States",Virginia,,18210.0
"Colonial Park, United States",Pennsylvania,,18125.0
"Colonie, United States",New York,,85426.0
"Colorado Springs, United States",Colorado,,638421.0
"Colorado do Oeste, Brazil",Rondônia,minor,15663.0
"Colorado, Brazil",Paraná,minor,22896.0
"Colorno, Italy",Emilia-Romagna,,8941.0
"Colotenango, Guatemala",Huehuetenango,minor,44823.0
"Colotlan, Mexico",Jalisco,minor,19689.0
"Coltauco, Chile",Libertador General Bernardo O’Higgins,,17918.0
"Colton, United States",California,,53798.0
"Colts Neck, United States",New Jersey,,9942.0
"Columbia City, United States",Indiana,,9975.0
"Columbia Heights, United States",Minnesota,,22016.0
"Columbia, United States",South Carolina,admin,605083.0
"Columbine, United States",Colorado,,25681.0
"Columbio, Philippines",Sultan Kudarat,,33527.0
"Columbus, United States",Ohio,admin,1578153.0
"Colwood, Canada",British Columbia,,18961.0
"Colwyn Bay, United Kingdom",Conwy,,10369.0
"Comacchio, Italy",Emilia-Romagna,,22017.0
"Comala, Mexico",Colima,minor,9649.0
"Comalapa, Mexico",Chiapas,minor,21727.0
"Comalapa, Nicaragua",Chontales,minor,11785.0
"Comalcalco, Mexico",Tabasco,minor,214877.0
"Comallo, Argentina",Río Negro,,741.0
"Comandante Fontana, Argentina",Formosa,minor,4277.0
"Comandante Luis Piedra Buena, Argentina",Santa Cruz,,6405.0
"Comanesti, Romania",Bacău,,19996.0
"Comapa, Guatemala",Jutiapa,minor,37218.0
"Comapa, Mexico",Veracruz,minor,19859.0
"Comarapa, Bolivia",Santa Cruz,,15919.0
"Comarnic, Romania",Prahova,,11106.0
"Comasagua, El Salvador",La Libertad,,11870.0
"Comayagua, Honduras",Comayagua,admin,144785.0
"Comayaguela, Honduras",Francisco Morazán,,1250000.0
"Combarbala, Chile",Coquimbo,,13605.0
"Combita, Colombia",Boyacá,minor,14632.0
"Combs-la-Ville, France",Île-de-France,,22712.0
"Come, Benin",Mono,,33507.0
"Comendador Levy Gasparian, Brazil",Rio de Janeiro,minor,8741.0
"Comendador, Dominican Republic",El Valle,minor,27908.0
"Comilla, Bangladesh",Chattogram,,296010.0
"Comines, France",Hauts-de-France,,12649.0
"Comiso, Italy",Sicilia,,30016.0
"Comitan, Mexico",Chiapas,minor,113479.0
"Comitancillo, Guatemala",San Marcos,minor,80612.0
"Commack, United States",New York,,36353.0
"Commerce City, United States",Colorado,,64640.0
"Commerce, United States",California,,12072.0
"Commune Sidi Youssef Ben Ahmed, Morocco",Fès-Meknès,,11292.0
"Como, Italy",Lombardy,minor,83184.0
"Comodoro Rivadavia, Argentina",Chubut,minor,201228.0
"Comodoro, Brazil",Mato Grosso,minor,18238.0
"Comonfort, Mexico",Guanajuato,minor,82216.0
"Comox, Canada",British Columbia,,14806.0
"Companiganj, Bangladesh",Chattogram,,250579.0
"Compiegne, France",Hauts-de-France,minor,40808.0
"Compostela, Mexico",Nayarit,minor,17573.0
"Compostela, Philippines",Davao de Oro,,89884.0
"Compton, United States",California,,93525.0
"Comrat, Moldova",Găgăuzia,admin,20113.0
"Comstock Park, United States",Michigan,,10306.0
"Con Dao, Vietnam",Bà Rịa-Vũng Tàu,minor,8827.0
"Conakry, Guinea",Conakry,primary,1667864.0
"Concarneau, France",Bretagne,,20632.0
"Conceicao da Aparecida, Brazil",Minas Gerais,minor,10371.0
"Conceicao da Barra, Brazil",Espírito Santo,minor,26494.0
"Conceicao da Feira, Brazil",Bahia,minor,20800.0
"Conceicao das Alagoas, Brazil",Minas Gerais,minor,28381.0
"Conceicao de Jacuipe, Brazil",Bahia,minor,35308.0
"Conceicao de Macabu, Brazil",Rio de Janeiro,minor,21104.0
"Conceicao do Almeida, Brazil",Bahia,minor,17165.0
"Conceicao do Araguaia, Brazil",Pará,minor,44617.0
"Conceicao do Castelo, Brazil",Espírito Santo,minor,10910.0
"Conceicao do Coite, Brazil",Bahia,minor,67825.0
"Conceicao do Mato Dentro, Brazil",Minas Gerais,minor,17438.0
"Conceicao do Rio Verde, Brazil",Minas Gerais,minor,12541.0
"Conceicao dos Ouros, Brazil",Minas Gerais,minor,10880.0
"Conceicao, Brazil",Paraíba,minor,18860.0
"Concepcion Batres, El Salvador",Usulután,,12197.0
"Concepcion Chiquirichapa, Guatemala",Quetzaltenango,minor,20920.0
"Concepcion Huista, Guatemala",Huehuetenango,minor,21208.0
"Concepcion Las Minas, Guatemala",Chiquimula,minor,12615.0
"Concepcion Quezaltepeque, El Salvador",Chalatenango,,14400.0
"Concepcion Tutuapa, Guatemala",San Marcos,minor,84138.0
"Concepcion de Ataco, El Salvador",Ahuachapán,,18101.0
"Concepcion del Uruguay, Argentina",Entre Ríos,minor,100728.0
"Concepcion, Argentina",Tucumán,minor,49782.0
"Concepcion, Chile",Biobío,admin,719944.0
"Concepcion, Paraguay",Concepción,admin,45068.0
"Concepcion, Peru",Junín,,15428.0
"Concepcion, Philippines",Tarlac,,169953.0
"Conception Bay South, Canada",Newfoundland and Labrador,,27168.0
"Conchagua, El Salvador",La Unión,,37362.0
"Conchal, Brazil",São Paulo,minor,22676.0
"Conchali, Chile",Región Metropolitana,,133256.0
"Conchas, Brazil",São Paulo,minor,15232.0
"Concon, Chile",Valparaíso,,32273.0
"Concord, United States",California,,525233.0
"Concordia Sagittaria, Italy",Veneto,,10229.0
"Concordia, Argentina",Entre Ríos,minor,199634.0
"Concordia, Brazil",Santa Catarina,minor,81646.0
"Concordia, Colombia",Antioquia,minor,20271.0
"Concorezzo, Italy",Lombardy,,15880.0
"Conda, Angola",Cuanza-Sul,,89479.0
"Condado, Brazil",Pernambuco,minor,24587.0
"Conde, Brazil",Bahia,minor,20426.0
"Conde-sur-l'Escaut, France",Hauts-de-France,,9297.0
"Condega, Nicaragua",Estelí,minor,28481.0
"Condeixa-a-Nova, Portugal",Coimbra,minor,17078.0
"Condeuba, Brazil",Bahia,minor,17053.0
"Condoto, Colombia",Chocó,minor,14660.0
"Conegliano, Italy",Veneto,,34292.0
"Conewago, United States",Pennsylvania,,8638.0
"Conflans-Sainte-Honorine, France",Île-de-France,,36306.0
"Confresa, Brazil",Mato Grosso,minor,35075.0
"Congaz, Moldova",Găgăuzia,,11123.0
"Congleton, United Kingdom",Cheshire East,,28488.0
"Congonhal, Brazil",Minas Gerais,minor,11083.0
"Congonhas, Brazil",Minas Gerais,minor,52890.0
"Conguaco, Guatemala",Jutiapa,minor,29887.0
"Conil de la Frontera, Spain",Andalusia,,23996.0
"Conisbrough, United Kingdom",Doncaster,,14333.0
"Conjeeveram, India",Tamil Nādu,,164384.0
"Connahs Quay, United Kingdom",Flintshire,,16771.0
"Conneaut, United States",Ohio,,12378.0
"Conner, Philippines",Apayao,,27552.0
"Connersville, United States",Indiana,,13241.0
"Conning Towers Nautilus Park, United States",Connecticut,,8590.0
"Conroe, United States",Texas,,96976.0
"Consaca, Colombia",Nariño,minor,9099.0
"Conselheiro Lafaiete, Brazil",Minas Gerais,minor,131621.0
"Conselheiro Pena, Brazil",Minas Gerais,minor,20824.0
"Conselice, Italy",Emilia-Romagna,,9541.0
"Conselve, Italy",Veneto,,9957.0
"Consett, United Kingdom",Durham,,25812.0
"Conshohocken, United States",Pennsylvania,,9235.0
"Consolacion del Sur, Cuba",Pinar del Río,minor,87500.0
"Consolacion, Philippines",Cebu,,148012.0
"Constanta, Romania",Constanţa,admin,263707.0
"Constantina, Brazil",Rio Grande do Sul,minor,10385.0
"Constantine, Algeria",Constantine,admin,448374.0
"Constanza, Dominican Republic",Cibao Sur,,59052.0
"Constitucion, Chile",Maule,,41207.0
"Consuegra, Spain",Castille-La Mancha,,9942.0
"Consuelito, Dominican Republic",Higuamo,,60000.0
"Contagem, Brazil",Minas Gerais,minor,538017.0
"Contai, India",West Bengal,,92226.0
"Contamana, Peru",Loreto,minor,15036.0
"Contenda, Brazil",Paraná,minor,19128.0
"Conthey, Switzerland",Valais,,8691.0
